user_id,orig_row,M2ID,M2FAMNUM,answered
0,6201,18019.0,120327.0,177
1,4447,15751.0,110055.0,169
2,1116,11448.0,100595.0,150
3,6853,18874.0,120137.0,162
4,2373,13037.0,101257.0,194
5,3446,14440.0,101815.0,22
6,5837,17547.0,103044.0,168
7,4661,16037.0,102442.0,140
8,720,10916.0,100382.0,167
9,3080,13952.0,101631.0,185
10,3018,13865.0,101599.0,23
11,145,10190.0,100079.0,25
12,327,10422.0,100171.0,137
13,788,11008.0,100416.0,21
14,176,10230.0,110011.0,141
15,4256,15516.0,102227.0,27
16,4006,15193.0,110097.0,147
17,1693,12177.0,100906.0,167
18,1373,11783.0,100732.0,140
19,102,10135.0,100057.0,21
20,5998,17755.0,110227.0,190
21,4413,15713.0,102314.0,135
22,6418,18311.0,110380.0,168
23,6624,18577.0,120190.0,132
24,6544,18474.0,103409.0,192
25,1011,11305.0,120476.0,22
26,1578,12034.0,100843.0,138
27,6560,18499.0,103418.0,202
28,65,10092.0,110364.0,20
29,1517,11966.0,100814.0,181
30,2800,13579.0,101486.0,172
31,5047,16534.0,102640.0,172
32,2154,12753.0,101144.0,180
33,5982,17736.0,103109.0,128
34,985,11267.0,120682.0,189
35,6165,17968.0,103204.0,155
36,412,10525.0,110027.0,179
37,5529,17147.0,102880.0,193
38,6015,17775.0,103127.0,21
39,4757,16158.0,120650.0,159
40,400,10509.0,100213.0,138
41,1484,11921.0,120469.0,139
42,1680,12158.0,120572.0,188
43,5620,17262.0,102930.0,177
44,6122,17906.0,103184.0,182
45,1239,11608.0,110303.0,124
46,288,10375.0,120733.0,144
47,5829,17538.0,103040.0,170
48,2194,12805.0,101159.0,160
49,1433,11854.0,100765.0,119
50,6910,18947.0,120905.0,171
51,6670,18640.0,103489.0,140
52,6640,18598.0,110527.0,181
53,3938,15097.0,102061.0,181
54,782,10998.0,100414.0,144
55,1756,12257.0,110105.0,123
56,4840,16264.0,102536.0,173
57,4029,15221.0,102100.0,155
58,5425,17008.0,120434.0,147
59,6913,18950.0,120460.0,167
60,983,11264.0,100520.0,177
61,107,10140.0,100059.0,168
62,664,10837.0,100360.0,107
63,1834,12358.0,120733.0,18
64,5420,17002.0,102826.0,133
65,3294,14230.0,101739.0,185
66,855,11100.0,100460.0,20
67,6812,18825.0,103567.0,131
68,754,10963.0,100396.0,151
69,1166,11517.0,110089.0,184
70,5166,16675.0,120146.0,178
71,1037,11339.0,100550.0,126
72,5816,17523.0,110431.0,172
73,2270,12903.0,101201.0,175
74,1504,11947.0,100807.0,25
75,3371,14325.0,120787.0,180
76,4694,16081.0,120058.0,182
77,7083,19165.0,103706.0,170
78,1669,12145.0,100894.0,166
79,4933,16383.0,102582.0,131
80,2305,12943.0,101221.0,167
81,5622,17264.0,120328.0,173
82,2737,13501.0,110188.0,134
83,1547,12000.0,100831.0,183
84,2678,13427.0,120436.0,165
85,2129,12721.0,101132.0,176
86,3300,14236.0,101742.0,167
87,4619,15974.0,102416.0,21
88,1921,12471.0,120401.0,126
89,6325,18194.0,103292.0,160
90,6634,18591.0,120040.0,174
91,333,10428.0,100177.0,159
92,2104,12686.0,120863.0,177
93,4430,15733.0,102320.0,175
94,6852,18873.0,103585.0,136
95,3510,14521.0,120129.0,163
96,4632,15994.0,120174.0,132
97,4706,16099.0,102463.0,186
98,1279,11655.0,100683.0,22
99,5797,17495.0,120926.0,177
100,6565,18507.0,103422.0,119
101,3664,14733.0,101910.0,200
102,1333,11726.0,100714.0,171
103,6474,18381.0,120748.0,25
104,4890,16330.0,110048.0,169
105,3388,14351.0,110240.0,138
106,6276,18123.0,103267.0,121
107,2688,13439.0,101425.0,130
108,278,10360.0,120168.0,182
109,1084,11404.0,100577.0,188
110,4895,16337.0,120057.0,163
111,3835,14966.0,110287.0,126
112,716,10912.0,110051.0,172
113,5964,17717.0,103103.0,197
114,321,10414.0,110023.0,184
115,2287,12923.0,110085.0,178
116,5257,16787.0,120620.0,138
117,2303,12941.0,110487.0,136
118,2083,12660.0,101102.0,147
119,5194,16709.0,102711.0,188
120,1009,11303.0,120712.0,157
121,1430,11850.0,100763.0,195
122,3289,14224.0,120048.0,202
123,3476,14478.0,101827.0,182
124,2985,13816.0,120019.0,126
125,5336,16897.0,102780.0,177
126,3246,14172.0,120825.0,120
127,2203,12817.0,110156.0,184
128,1887,12429.0,110438.0,158
129,5426,17009.0,102828.0,200
130,776,10990.0,100411.0,189
131,1597,12057.0,100857.0,146
132,2479,13176.0,101310.0,171
133,853,11098.0,100458.0,154
134,4670,16049.0,110344.0,114
135,4718,16113.0,102473.0,183
136,2895,13704.0,120484.0,165
137,5722,17398.0,120719.0,178
138,5171,16682.0,102698.0,109
139,3400,14367.0,110009.0,127
140,5118,16619.0,110515.0,118
141,2518,13229.0,101330.0,20
142,6258,18098.0,103256.0,202
