user_id,orig_user_id,split,orig_row,M2ID,M2FAMNUM,answered
0,0,train,6201.0,18019.0,120327.0,177
1,1,train,4447.0,15751.0,110055.0,169
2,2,train,1116.0,11448.0,100595.0,150
3,3,train,6853.0,18874.0,120137.0,162
4,6,train,5837.0,17547.0,103044.0,168
5,7,train,4661.0,16037.0,102442.0,140
6,8,train,720.0,10916.0,100382.0,167
7,12,train,327.0,10422.0,100171.0,137
8,14,train,176.0,10230.0,110011.0,141
9,16,train,4006.0,15193.0,110097.0,147
10,17,train,1693.0,12177.0,100906.0,167
11,18,train,1373.0,11783.0,100732.0,140
12,21,train,4413.0,15713.0,102314.0,135
13,22,train,6418.0,18311.0,110380.0,168
14,23,train,6624.0,18577.0,120190.0,132
15,26,train,1578.0,12034.0,100843.0,138
16,30,train,2800.0,13579.0,101486.0,172
17,31,train,5047.0,16534.0,102640.0,172
18,32,train,2154.0,12753.0,101144.0,180
19,35,train,6165.0,17968.0,103204.0,155
20,36,train,412.0,10525.0,110027.0,179
21,39,train,4757.0,16158.0,120650.0,159
22,40,train,400.0,10509.0,100213.0,138
23,41,train,1484.0,11921.0,120469.0,139
24,43,train,5620.0,17262.0,102930.0,177
25,46,train,288.0,10375.0,120733.0,144
26,47,train,5829.0,17538.0,103040.0,170
27,48,train,2194.0,12805.0,101159.0,160
28,50,train,6910.0,18947.0,120905.0,171
29,51,train,6670.0,18640.0,103489.0,140
30,54,train,782.0,10998.0,100414.0,144
31,56,train,4840.0,16264.0,102536.0,173
32,57,train,4029.0,15221.0,102100.0,155
33,58,train,5425.0,17008.0,120434.0,147
34,59,train,6913.0,18950.0,120460.0,167
35,60,train,983.0,11264.0,100520.0,177
36,61,train,107.0,10140.0,100059.0,168
37,64,train,5420.0,17002.0,102826.0,133
38,67,train,6812.0,18825.0,103567.0,131
39,68,train,754.0,10963.0,100396.0,151
40,70,train,5166.0,16675.0,120146.0,178
41,72,train,5816.0,17523.0,110431.0,172
42,73,train,2270.0,12903.0,101201.0,175
43,75,train,3371.0,14325.0,120787.0,180
44,77,train,7083.0,19165.0,103706.0,170
45,78,train,1669.0,12145.0,100894.0,166
46,79,train,4933.0,16383.0,102582.0,131
47,80,train,2305.0,12943.0,101221.0,167
48,81,train,5622.0,17264.0,120328.0,173
49,82,train,2737.0,13501.0,110188.0,134
50,84,train,2678.0,13427.0,120436.0,165
51,85,train,2129.0,12721.0,101132.0,176
52,86,train,3300.0,14236.0,101742.0,167
53,89,train,6325.0,18194.0,103292.0,160
54,90,train,6634.0,18591.0,120040.0,174
55,91,train,333.0,10428.0,100177.0,159
56,92,train,2104.0,12686.0,120863.0,177
57,93,train,4430.0,15733.0,102320.0,175
58,94,train,6852.0,18873.0,103585.0,136
59,95,train,3510.0,14521.0,120129.0,163
60,96,train,4632.0,15994.0,120174.0,132
61,99,train,5797.0,17495.0,120926.0,177
62,102,train,1333.0,11726.0,100714.0,171
63,104,train,4890.0,16330.0,110048.0,169
64,105,train,3388.0,14351.0,110240.0,138
65,107,train,2688.0,13439.0,101425.0,130
66,110,train,4895.0,16337.0,120057.0,163
67,112,train,716.0,10912.0,110051.0,172
68,115,train,2287.0,12923.0,110085.0,178
69,116,train,5257.0,16787.0,120620.0,138
70,117,train,2303.0,12941.0,110487.0,136
71,118,train,2083.0,12660.0,101102.0,147
72,120,train,1009.0,11303.0,120712.0,157
73,125,train,5336.0,16897.0,102780.0,177
74,128,train,1887.0,12429.0,110438.0,158
75,131,train,1597.0,12057.0,100857.0,146
76,132,train,2479.0,13176.0,101310.0,171
77,133,train,853.0,11098.0,100458.0,154
78,136,train,2895.0,13704.0,120484.0,165
79,137,train,5722.0,17398.0,120719.0,178
80,145,train,5769.0,17459.0,120187.0,172
81,149,train,4689.0,16073.0,102455.0,150
82,151,train,3751.0,14854.0,120721.0,166
83,153,train,5322.0,16880.0,102772.0,159
84,154,train,5668.0,17323.0,102955.0,166
85,157,train,3222.0,14140.0,120414.0,175
86,159,train,618.0,10776.0,100332.0,155
87,164,train,2495.0,13200.0,110371.0,164
88,165,train,6510.0,18425.0,110485.0,173
89,166,train,1653.0,12125.0,110363.0,177
90,167,train,2042.0,12610.0,101087.0,175
91,169,train,4964.0,16423.0,102600.0,156
92,170,train,367.0,10468.0,100196.0,134
93,172,train,4405.0,15704.0,102310.0,165
94,174,train,5013.0,16486.0,110371.0,169
95,175,train,1539.0,11992.0,100826.0,180
96,176,train,2362.0,13021.0,101251.0,173
97,178,train,3810.0,14929.0,101994.0,151
98,180,train,5750.0,17437.0,102995.0,147
99,183,train,1260.0,11633.0,110275.0,167
100,184,train,2904.0,13715.0,101541.0,134
101,185,train,3668.0,14738.0,101913.0,172
102,186,train,4068.0,15270.0,120830.0,172
103,187,train,3962.0,15127.0,102068.0,177
104,188,train,2381.0,13051.0,110171.0,179
105,189,train,500.0,10625.0,100266.0,174
106,194,train,5949.0,17696.0,120075.0,139
107,195,train,3324.0,14265.0,120057.0,132
108,196,train,4361.0,15645.0,120048.0,163
109,197,train,1660.0,12134.0,100887.0,167
110,201,train,5231.0,16752.0,110397.0,144
111,206,train,3030.0,13887.0,101603.0,133
112,208,train,6680.0,18652.0,103494.0,174
113,210,train,3972.0,15141.0,120263.0,133
114,211,train,6682.0,18655.0,103496.0,177
115,212,train,2596.0,13325.0,101373.0,153
116,213,train,5464.0,17057.0,120868.0,177
117,217,train,4753.0,16153.0,120592.0,157
118,218,train,6783.0,18783.0,120662.0,171
119,221,train,1808.0,12325.0,110352.0,133
120,223,train,6706.0,18691.0,103510.0,179
121,224,train,4704.0,16095.0,120291.0,158
122,228,train,1446.0,11875.0,100775.0,137
123,234,train,5848.0,17559.0,120609.0,170
124,237,train,1456.0,11888.0,110104.0,175
125,238,train,1050.0,11352.0,120295.0,132
126,239,train,3894.0,15036.0,102037.0,157
127,240,train,2935.0,13756.0,101558.0,167
128,241,train,4944.0,16399.0,120909.0,178
129,242,train,5251.0,16781.0,110110.0,140
130,245,train,139.0,10182.0,120924.0,138
131,247,train,3494.0,14502.0,101836.0,180
132,248,train,3096.0,13971.0,110160.0,171
133,251,train,5017.0,16491.0,102626.0,172
134,252,train,2273.0,12907.0,110159.0,164
135,253,train,478.0,10601.0,120554.0,170
136,255,train,2872.0,13673.0,101523.0,171
137,256,train,4859.0,16286.0,102547.0,166
138,257,train,418.0,10531.0,120948.0,130
139,259,train,3216.0,14133.0,120745.0,171
140,261,train,434.0,10550.0,120257.0,130
141,263,train,4272.0,15533.0,120234.0,180
142,264,train,3201.0,14112.0,101691.0,143
143,269,train,6643.0,18601.0,120611.0,172
144,271,train,4131.0,15352.0,102155.0,156
145,275,train,3519.0,14534.0,110443.0,146
146,281,train,2081.0,12658.0,110148.0,133
147,282,train,1110.0,11440.0,100592.0,140
148,284,train,4917.0,16361.0,110144.0,147
149,285,train,5000.0,16472.0,120314.0,131
150,289,train,1119.0,11452.0,100598.0,158
151,290,train,5311.0,16867.0,110402.0,174
152,291,train,5864.0,17582.0,110437.0,157
153,292,train,1773.0,12276.0,100948.0,130
154,293,train,4359.0,15643.0,102281.0,179
155,296,train,3785.0,14899.0,120918.0,173
156,297,train,5243.0,16768.0,110397.0,133
157,298,train,5022.0,16496.0,102631.0,166
158,299,train,3832.0,14961.0,102003.0,150
159,300,train,615.0,10772.0,100331.0,162
160,301,train,2843.0,13632.0,120101.0,167
161,302,train,963.0,11236.0,120223.0,168
162,305,train,5716.0,17391.0,120034.0,166
163,308,train,4077.0,15282.0,120773.0,168
164,312,train,4695.0,16083.0,102459.0,142
165,313,train,1337.0,11732.0,120063.0,170
166,314,train,3098.0,13974.0,110456.0,152
167,315,train,6648.0,18612.0,120757.0,172
168,316,train,3328.0,14270.0,101757.0,177
169,318,train,5811.0,17517.0,120135.0,173
170,319,train,25.0,10034.0,100016.0,160
171,322,train,2257.0,12885.0,120337.0,140
172,326,train,4908.0,16350.0,110254.0,175
173,328,train,7011.0,19072.0,103670.0,180
174,329,train,233.0,10305.0,120113.0,180
175,332,train,5456.0,17047.0,120556.0,172
176,333,train,1187.0,11540.0,110182.0,166
177,334,train,1040.0,11342.0,120182.0,164
178,336,train,3481.0,14484.0,120383.0,161
179,337,train,6156.0,17955.0,120963.0,175
180,338,train,2670.0,13419.0,120790.0,158
181,339,train,3134.0,14021.0,120910.0,175
182,341,train,3150.0,14046.0,120422.0,150
183,342,train,1622.0,12090.0,100869.0,148
184,344,train,5775.0,17468.0,103011.0,147
185,345,train,2608.0,13340.0,110451.0,180
186,346,train,6352.0,18229.0,103311.0,162
187,347,train,6497.0,18408.0,103384.0,162
188,348,train,3691.0,14769.0,120017.0,179
189,350,train,5476.0,17075.0,102855.0,166
190,351,train,393.0,10500.0,100209.0,142
191,352,train,224.0,10295.0,120070.0,156
192,353,train,1485.0,11923.0,100796.0,132
193,354,train,5597.0,17235.0,110293.0,152
194,356,train,1979.0,12543.0,101054.0,166
195,357,train,2355.0,13011.0,120011.0,170
196,358,train,3357.0,14308.0,120481.0,130
197,359,train,6424.0,18320.0,110170.0,139
198,360,train,4535.0,15863.0,120244.0,172
199,361,train,3670.0,14740.0,101915.0,150
200,362,train,5991.0,17746.0,120928.0,157
201,364,train,7070.0,19151.0,120695.0,173
202,366,train,6410.0,18302.0,110475.0,145
203,367,train,1736.0,12233.0,120642.0,162
204,369,train,5382.0,16954.0,102806.0,175
205,371,train,2497.0,13202.0,120872.0,132
206,375,train,1858.0,12391.0,110133.0,144
207,376,train,5466.0,17059.0,110129.0,146
208,377,train,6827.0,18844.0,110507.0,164
209,380,train,4589.0,15938.0,120343.0,148
210,381,train,6209.0,18029.0,103228.0,130
211,382,train,2233.0,12856.0,120050.0,179
212,386,train,838.0,11081.0,110150.0,130
213,388,train,3517.0,14532.0,120083.0,132
214,389,train,6820.0,18837.0,103570.0,167
215,390,train,4132.0,15355.0,110501.0,164
216,391,train,310.0,10401.0,100164.0,162
217,395,train,1275.0,11650.0,120857.0,133
218,396,train,779.0,10994.0,120456.0,142
219,397,train,3661.0,14730.0,101908.0,172
220,398,train,4775.0,16180.0,102507.0,174
221,400,train,3452.0,14448.0,120658.0,152
222,401,train,5830.0,17539.0,120208.0,136
223,402,train,6760.0,18756.0,120906.0,139
224,406,train,5488.0,17089.0,120115.0,163
225,407,train,3729.0,14825.0,101951.0,166
226,408,train,4628.0,15988.0,102421.0,171
227,410,train,1668.0,12144.0,100893.0,176
228,411,train,2694.0,13449.0,110013.0,177
229,419,train,5673.0,17332.0,120540.0,168
230,421,train,4916.0,16360.0,102576.0,175
231,423,train,957.0,11226.0,100510.0,148
232,426,train,5459.0,17051.0,120013.0,156
233,428,train,1543.0,11996.0,120195.0,139
234,431,train,601.0,10757.0,100324.0,138
235,432,train,1205.0,11566.0,100642.0,179
236,434,train,2397.0,13069.0,120066.0,169
237,435,train,1188.0,11541.0,120545.0,169
238,437,train,2505.0,13213.0,101325.0,175
