metric,embedding_strategy,GPCM,CORAL,difference,gpcm_better
categorical_acc,adjacent_weighted,0.5247139930725098,0.4042736887931824,0.12044030427932739,True
categorical_acc,linear_decay,0.5178070068359375,0.4353550672531128,0.08245193958282471,True
categorical_acc,ordered,0.5171595215797424,0.3686596155166626,0.14849990606307983,True
categorical_acc,unordered,0.5229872465133667,0.3958558142185211,0.12713143229484558,True
ordinal_acc,adjacent_weighted,0.8776171207427979,0.8605654835700989,0.017051637172698975,True
ordinal_acc,linear_decay,0.8823656439781189,0.8631556034088135,0.01921004056930542,True
ordinal_acc,ordered,0.8795596957206726,0.8150226473808289,0.06453704833984375,True
ordinal_acc,unordered,0.8845240473747253,0.8545219302177429,0.030002117156982422,True
prediction_consistency_acc,adjacent_weighted,0.3490179181098938,0.25016188621520996,0.09885603189468384,True
prediction_consistency_acc,linear_decay,0.3475070297718048,0.2769263982772827,0.0705806314945221,True
prediction_consistency_acc,ordered,0.3425426185131073,0.2298726588487625,0.11266995966434479,True
prediction_consistency_acc,unordered,0.34685948491096497,0.2432549148797989,0.10360457003116608,True
ordinal_ranking_acc,adjacent_weighted,0.7010025632278835,0.619906136827428,0.08109642640045545,True
ordinal_ranking_acc,linear_decay,0.6967707576786347,0.6246020537124419,0.0721687039661928,True
ordinal_ranking_acc,ordered,0.6947485315888647,0.5519869100205921,0.14276162156827266,True
ordinal_ranking_acc,unordered,0.7018793444073849,0.6304644116754431,0.07141493273194177,True
mae,adjacent_weighted,0.6110511422157288,0.7491905689239502,-0.13813942670822144,False
mae,linear_decay,0.6119145154953003,0.7157349586486816,-0.10382044315338135,False
mae,ordered,0.616231381893158,0.8309950232505798,-0.21476364135742188,False
mae,unordered,0.6056550741195679,0.7580401301383972,-0.15238505601882935,False
distribution_consistency,adjacent_weighted,0.6820674753976439,0.6020273226732419,0.08004015272440201,True
distribution_consistency,linear_decay,0.6812847164159405,0.6076927953177591,0.07359192109818136,True
distribution_consistency,ordered,0.6802806430660107,0.5895397539738828,0.09074088909212785,True
distribution_consistency,unordered,0.6813122894499952,0.5956689666883492,0.08564332276164599,True
qwk,adjacent_weighted,0.6781934828391243,0.5316496201836274,0.1465438626554969,True
qwk,linear_decay,0.6791061107408887,0.5686822801047724,0.11042383063611627,True
qwk,ordered,0.6736278667754241,0.4294427924468356,0.2441850743285885,True
qwk,unordered,0.683584457200995,0.510684264670453,0.172900192530542,True
